Description,1,2,3,4
Alzheimer disease,-2.88043102105485,NA,NA,3.70527003230822
Aminoacyl-tRNA biosynthesis,NA,-2.18552181161479,2.28138566592267,NA
Amyotrophic lateral sclerosis,-2.65413733802061,NA,NA,3.04659032474315
Arginine and proline metabolism,NA,-2.23320053455638,NA,NA
Biosynthesis of cofactors,NA,-2.18222265924121,NA,NA
Cadherin signaling,NA,NA,-1.98227110530341,NA
Carbon metabolism,NA,NA,NA,2.78356694232592
Chemical carcinogenesis - reactive oxygen species,-2.77144671536276,-2.48154864511202,NA,NA
Coronavirus disease - COVID-19,2.95530786159761,2.14270511230776,NA,NA
Diabetic cardiomyopathy,NA,NA,2.09742653628516,2.95501266159575
ECM-receptor interaction,NA,2.14200530161889,-2.07820142528985,NA
Fructose and mannose metabolism,NA,NA,2.07745341522582,NA
Glycolysis / Gluconeogenesis,NA,-2.44827053178001,2.19427477518492,3.05279408912917
Huntington disease,-3.09432523436179,NA,NA,3.52740620072347
Oxidative phosphorylation,-2.84030385565549,-2.57852859107781,2.10591877135326,3.18536858539725
Parkinson disease,-2.7270896972824,-2.15293648961356,1.90863452953992,3.0100718370396
Pathways of neurodegeneration - multiple diseases,-2.73981933394751,NA,NA,3.72188394584568
Platelet activation,NA,NA,1.97601539446633,NA
Prion disease,-2.64782056263557,-2.14785204404831,2.08561643210527,2.90421042842582
Ribosome,2.84972882645922,NA,NA,NA
