Description,n_clusters
Oxidative phosphorylation,4
Parkinson disease,4
Prion disease,4
Glycolysis / Gluconeogenesis,3
Alzheimer disease,2
Aminoacyl-tRNA biosynthesis,2
Amyotrophic lateral sclerosis,2
Chemical carcinogenesis - reactive oxygen species,2
Coronavirus disease - COVID-19,2
Diabetic cardiomyopathy,2
ECM-receptor interaction,2
Huntington disease,2
Pathways of neurodegeneration - multiple diseases,2
Arginine and proline metabolism,1
Biosynthesis of cofactors,1
Cadherin signaling,1
Carbon metabolism,1
Fructose and mannose metabolism,1
Platelet activation,1
Ribosome,1
